timestamp,hour,failed_logins,session_duration_sec,bytes_sent,user,city,src_ip,label
2026-01-01 00:59:00,7,1,37.14,1259.64,user_18,Haifa,10.0.0.16,normal
2026-01-01 10:37:00,12,1,59.21,1202.08,user_01,Haifa,10.0.0.10,normal
2026-01-01 07:36:00,13,1,69.03,728.73,user_21,Tel Aviv,10.0.0.21,normal
2026-01-01 00:08:00,5,0,53.65,1217.54,user_18,Tel Aviv,10.0.0.44,normal
2026-01-01 22:00:00,3,1,39.29,1660.59,user_06,Jerusalem,10.0.0.19,normal
2026-01-01 14:59:00,11,1,55.22,1595.08,user_09,Haifa,10.0.0.45,normal
2026-01-01 07:08:00,9,0,66.8,756.27,user_10,Beer Sheva,10.0.0.19,normal
2026-01-01 07:52:00,10,1,54.37,1333.27,user_19,Beer Sheva,10.0.0.46,normal
2026-01-01 05:41:00,12,2,53.68,1025.2,user_21,Jerusalem,10.0.0.30,normal
2026-01-01 22:19:00,11,1,42.64,1313.43,user_07,Haifa,10.0.0.45,normal
2026-01-01 12:26:00,8,0,65.83,1370.03,user_17,Tel Aviv,10.0.0.39,normal
2026-01-01 19:39:00,9,1,44.92,1019.77,user_16,Tel Aviv,10.0.0.53,normal
2026-01-01 19:23:00,9,1,60.22,1506.94,user_14,Haifa,10.0.0.34,normal
2026-01-01 10:54:00,12,3,24.96,1026.25,user_11,Haifa,10.0.0.39,normal
2026-01-01 19:32:00,13,0,59.85,658.62,user_19,Eilat,10.0.0.23,normal
2026-01-01 11:14:00,5,0,76.1,1354.77,user_15,Haifa,10.0.0.27,normal
2026-01-01 07:08:00,11,1,59.96,927.37,user_14,Tel Aviv,10.0.0.31,normal
2026-01-01 20:59:00,6,0,38.61,1425.73,user_15,Tel Aviv,10.0.0.57,normal
2026-01-01 17:43:00,12,1,64.48,1107.28,user_07,Beer Sheva,10.0.0.35,normal
2026-01-01 02:22:00,6,1,85.93,539.81,user_25,Haifa,10.0.0.44,normal
2026-01-01 15:58:00,12,0,52.2,1155.97,user_07,Haifa,10.0.0.13,normal
2026-01-01 01:12:00,6,1,95.08,1559.55,user_05,Jerusalem,10.0.0.56,normal
2026-01-01 02:28:00,14,1,42.91,1465.6,user_23,Haifa,10.0.0.18,normal
2026-01-01 14:27:00,10,1,39.45,1116.74,user_08,Jerusalem,10.0.0.49,normal
2026-01-01 05:59:00,13,1,56.29,1219.15,user_04,Haifa,10.0.0.52,normal
2026-01-01 15:47:00,8,1,73.12,773.76,user_16,Jerusalem,10.0.0.31,normal
2026-01-01 22:27:00,14,0,47.16,1036.61,user_23,Jerusalem,10.0.0.36,normal
2026-01-01 12:52:00,0,18,6.6,127.7,user_01,Unknown,185.220.101.87,attack
2026-01-01 08:33:00,10,0,43.67,973.7,user_13,Beer Sheva,10.0.0.28,normal
2026-01-01 07:08:00,1,0,43.67,1175.34,user_04,Tel Aviv,10.0.0.26,normal
2026-01-01 17:27:00,8,1,44.89,1287.42,user_20,Tel Aviv,10.0.0.40,normal
2026-01-01 05:16:00,19,0,57.78,1244.44,user_17,Beer Sheva,10.0.0.51,normal
2026-01-01 14:20:00,10,3,76.87,1534.9,user_19,Tel Aviv,10.0.0.42,normal
2026-01-01 08:19:00,6,0,68.34,1186.12,user_20,Eilat,10.0.0.11,normal
2026-01-01 13:11:00,10,2,67.39,1597.43,user_02,Eilat,10.0.0.54,normal
2026-01-01 12:01:00,10,0,40.19,853.77,user_19,Tel Aviv,10.0.0.24,normal
2026-01-01 08:30:00,14,0,57.05,1138.58,user_03,Beer Sheva,10.0.0.18,normal
2026-01-01 07:05:00,12,1,65.76,499.56,user_03,Jerusalem,10.0.0.39,normal
2026-01-01 07:51:00,10,0,73.54,1332.18,user_04,Haifa,10.0.0.33,normal
2026-01-01 08:14:00,13,3,53.21,1294.07,user_09,Beer Sheva,10.0.0.28,normal
